name,arch,opt_level,instruction_count,text_size_bytes,binary_size_bytes,syscall_count,stack_size_bytes,correct
add,x86,src,13,67,8368,2,0,PASS
add,arm64,O0,48,192,16872,2,12339,PASS
add,arm64,O1,29,116,16872,2,0,PASS
add,arm64,O2,29,116,16872,2,0,PASS
fibonacci,x86,src,22,101,8416,2,0,PASS
fibonacci,arm64,O0,91,364,16880,2,12339,PASS
fibonacci,arm64,O1,41,164,16880,2,0,PASS
fibonacci,arm64,O2,41,164,16880,2,0,PASS
gcd,x86,src,21,98,8448,2,0,PASS
gcd,arm64,O0,83,332,16872,2,12339,PASS
gcd,arm64,O1,43,172,16872,2,0,PASS
gcd,arm64,O2,43,172,16872,2,0,PASS
hello,x86,src,8,42,4272,2,0,PASS
hello,arm64,O0,41,164,16824,2,12323,PASS
hello,arm64,O1,26,104,16824,2,0,PASS
hello,arm64,O2,26,104,16824,2,0,PASS
max_of_three,x86,src,20,95,8416,2,0,PASS
max_of_three,arm64,O0,89,356,16880,2,12339,PASS
max_of_three,arm64,O1,29,116,16880,2,0,PASS
max_of_three,arm64,O2,29,116,16880,2,0,PASS
nested_loop,x86,src,22,108,8480,2,0,PASS
nested_loop,arm64,O0,92,368,16880,2,12339,PASS
nested_loop,arm64,O1,49,196,16880,2,0,PASS
nested_loop,arm64,O2,49,196,16880,2,0,PASS
sum_loop,x86,src,17,79,8368,2,0,PASS
sum_loop,arm64,O0,70,280,16872,2,12339,PASS
sum_loop,arm64,O1,38,152,16872,2,0,PASS
sum_loop,arm64,O2,38,152,16872,2,0,PASS
